timestamp,temp,humidity,air quality(finedust generation),location,,,,
2026. 4. 9 오후 9:40:59,22.1,41.3,238,kitchen,,,,
2026. 4. 9 오후 9:42:03,22,40.8,341,kitchen,,,,
2026. 4. 9 오후 9:43:08,21.9,42.7,61,kitchen,,,,
2026. 4. 9 오후 9:44:12,21.9,40.8,33,kitchen,,,,
2026. 4. 9 오후 9:45:17,21.9,41.4,339,kitchen,,,,
2026. 4. 9 오후 9:46:21,21.9,42.2,208,kitchen,,,,
2026. 4. 9 오후 9:47:25,21.9,40.9,241,kitchen,,,,
2026. 4. 9 오후 9:48:30,21.8,41.2,393,kitchen,,,,
2026. 4. 9 오후 9:49:34,21.8,40.6,177,kitchen,,,,
2026. 4. 9 오후 9:50:38,21.8,40.9,0,kitchen,,,,
2026. 4. 9 오후 9:51:43,21.8,42.2,192,kitchen,,,,
2026. 4. 9 오후 9:52:47,21.8,40.8,64,kitchen,,,,
2026. 4. 9 오후 9:53:53,21.8,41,57,kitchen,,,,
2026. 4. 9 오후 9:54:58,21.8,41.4,138,kitchen,,,,
2026. 4. 9 오후 9:56:05,21.7,41.8,464,kitchen,,,,
2026. 4. 9 오후 9:57:10,21.7,40.8,266,kitchen,,,,
2026. 4. 9 오후 9:58:16,21.7,39.9,177,kitchen,,,,
2026. 4. 9 오후 10:00:39,21.7,42.5,387,kitchen,,,,
2026. 4. 9 오후 10:01:45,21.8,43.2,123,kitchen,,,,
2026. 4. 9 오후 10:02:51,21.8,43.6,274,kitchen,,,,
2026. 4. 9 오후 10:04:02,21.9,44.1,393,kitchen,,,,
2026. 4. 9 오후 10:12:20,22.5,44.5,528,kitchen,,,,
2026. 4. 9 오후 10:13:28,22.6,44.5,375,kitchen,,,,
2026. 4. 9 오후 10:14:33,22.6,44.6,67,kitchen,,,,
2026. 4. 9 오후 10:16:45,22.8,44.8,199,kitchen,,,,
2026. 4. 9 오후 10:17:52,22.9,44.9,129,kitchen,,,,
2026. 4. 9 오후 10:18:59,23,44.9,183,kitchen,,,,
2026. 4. 9 오후 10:20:04,23.1,45,0,kitchen,,,,
2026. 4. 9 오후 10:21:11,23.1,45,67,kitchen,,,,
2026. 4. 9 오후 10:22:16,23.2,45.1,445,kitchen,,,,
2026. 4. 9 오후 10:23:21,23.2,45.1,230,kitchen,,,,
2026. 4. 9 오후 10:27:36,23.4,45.4,213,kitchen,,,,
2026. 4. 9 오후 10:28:56,23.5,45.5,370,kitchen,,,,
2026. 4. 9 오후 10:30:05,23.5,45.6,326,kitchen,,,,
2026. 4. 9 오후 10:31:11,23.6,45.8,30,kitchen,,,,
2026. 4. 9 오후 10:32:16,23.6,45.9,304,kitchen,,,,
2026. 4. 9 오후 10:33:22,23.6,45.8,279,kitchen,,,,
2026. 4. 9 오후 10:34:29,23.6,45.9,274,kitchen,,,,
2026. 4. 9 오후 10:35:33,23.7,46,218,kitchen,,,,
2026. 4. 9 오후 10:36:38,23.7,46.1,142,kitchen,,,,
